ID_REF,GSM432926,GSM432927,GSM432928,GSM432929,GSM432930,GSM432931
221894_at,5.853290351,6.069794948,5.853558801,6.086764879,5.857931764,5.85171729
221895_at,5.794321156,5.686445082,5.686445082,5.562594317,5.885431116,5.829063345
221896_s_at,9.495694679,9.406627189,9.579976506,9.298439951,9.241318987,9.27472146
221897_at,5.033299646,5.159626964,5.055645573,5.107970437,4.807902099,5.045694697
221899_at,4.197134735,4.215249422,4.428312426,4.44583691,4.259445631,4.448267688
221901_at,4.210437265,4.037516332,4.082681783,4.617484884,4.588099831,3.941448662
221902_at,4.336894352,4.303722192,4.352687726,4.410119106,4.24143521,4.074065023
221903_s_at,5.071281178,5.23363108,4.872933669,5.498365285,5.416257076,5.377332255
221904_at,5.038602675,4.690971242,4.648274462,4.716355678,4.742466064,4.604793887
221906_at,4.392676086,4.139330217,4.196137625,4.56495808,4.084619069,4.272870966
221907_at,6.211171961,6.42616178,6.252984731,6.402189995,6.2451806,6.437069486
221908_at,4.755871289,4.395514364,4.638330742,5.492410045,4.967580376,4.96494543
221909_at,5.175653718,5.166502056,5.057991707,5.845440391,5.482289998,5.502270125
221912_s_at,6.08564766,5.783594496,5.902304129,6.277622764,5.902760456,6.014284483
221916_at,8.287345141,8.163674695,8.301089107,7.862410356,7.853565896,7.811740577
221918_at,6.854591983,7.043700882,6.81475573,6.957352001,7.138398277,6.977183367
221922_at,6.191709753,6.127878018,6.213502244,6.260322655,6.395430304,6.287907033
221923_s_at,10.63173726,10.76030248,10.6175497,10.56760927,10.70221955,10.67651741
221926_s_at,4.542518093,4.24143521,4.39159549,4.212501976,4.133268622,4.357868386
221927_s_at,6.424322876,6.450742422,6.384871058,6.688337562,6.625312472,6.600643677
221928_at,4.08187065,3.836509501,4.123848185,4.334357528,4.24143521,4.345993366
221931_s_at,8.097096064,8.208745108,8.05866005,8.02706604,8.059797017,7.925215157
221932_s_at,9.642670172,9.711404078,9.57915504,9.768838316,9.572896661,9.533237207
221934_s_at,6.730917286,6.632504728,6.730122777,6.227245259,6.178765629,6.258163967
221935_s_at,5.071391355,5.33974693,5.065401805,5.040566351,5.043817531,4.706059618
221937_at,6.599205385,6.441528089,6.566519542,6.462919793,6.331895346,6.359728044
221938_x_at,5.720700406,5.471521118,5.620887438,5.78168628,5.575058019,5.807359545
221940_at,5.219607082,5.333400584,4.940081569,5.69833164,5.607271741,5.687241452
221941_at,4.343655274,4.440049152,4.43684154,4.231120305,4.419801216,4.353535533
221946_at,4.318272498,4.252027655,4.238325552,4.135975932,3.836958428,3.960277221
221949_at,5.277414394,5.212388365,5.228004963,5.316703272,4.876400572,5.003789057
221950_at,4.232489083,4.595980362,3.923933643,4.820516016,4.765360072,4.431713489
221951_at,5.90596952,5.777335172,6.032055002,5.188654727,4.807646853,4.780507423
221954_at,6.871012585,7.059025971,6.682852426,7.006771935,7.099326067,7.163706878
221956_at,4.279006138,4.130748027,4.316121469,4.372478224,4.230498957,4.567476615
221957_at,5.420595638,5.244230899,5.309808308,5.044413398,5.326700519,5.343123669
221958_s_at,7.031564518,6.70601055,7.001249464,7.183162982,7.023241683,7.008019833
221959_at,4.469917647,4.518806138,4.363266021,4.609677405,4.544912717,4.35241449
221962_s_at,5.857931764,5.865354935,5.861733647,5.435439747,5.566126378,5.604383336
221964_at,5.450340744,5.239780193,5.368279781,5.604377636,5.392249436,5.531491477
