Gene,t,group1_median,group2_median,log2FC,pval,FDR,Gene Symbol,ENTREZ_GENE_ID
219611_s_at,-0.7058159983102156,5.646201666,5.473014577,-0.1731870889999998,0.5192400466752357,0.6880392850688437,CEP85,64793
201795_at,0.7055022487307014,9.241382646,9.258783835,0.017401188999999206,0.5194155384139433,0.6881103426865456,LBR,3930
203362_s_at,0.7055750071217474,9.035854728,8.987210987,-0.04864374100000113,0.5193748381094836,0.6881103426865456,MAD2L1,4085
201096_s_at,0.7053981722781999,8.428832722,8.509107348,0.08027462600000135,0.5194737617609704,0.6881324559176142,ARF4,378
219428_s_at,-0.7053056369819191,5.574848932,5.525989668,-0.04885926399999985,0.5195255326457431,0.6881460188989781,PXMP4,11264
201660_at,-0.7050206846125261,6.082193261,6.009317776,-0.07287548499999996,0.5196849790429227,0.6882742052393978,ACSL3,2181
219170_at,-0.7049842147685371,5.261744683,5.159013892,-0.10273079099999993,0.5197053884815079,0.6882742052393978,FSD1,79187
206989_s_at,0.7047403852789705,6.410438187,6.546805661,0.13636747400000004,0.5198418565638137,0.6883999137952228,SCAF11,9169
235435_at,-0.7046573106832537,6.2933359,5.741349977,-0.5519859230000002,0.5198883582525867,0.6884064738981147,AASDH,132949
244777_at,-0.7043704618068753,4.013189986,3.961868405,-0.05132158100000028,0.5200489475430097,0.6885640891673427,DCP2,167227
243521_at,0.7042551779509267,3.840306136,3.876153548,0.035847411999999856,0.5201134981489864,0.6885945306296889,ZXDA,7789
224410_s_at,0.7040764676526561,5.971348116,6.012943126,0.04159500999999999,0.5202135744876532,0.6886719970985878,LMBR1,64327
228011_at,-0.7038531517836776,6.458192858,6.384077171,-0.07411568699999993,0.5203386492748009,0.688782542129438,FAM92A1,137392
210869_s_at,-0.703731447771056,4.541649896,4.458942648,-0.08270724800000018,0.520406822483905,0.688817753773432,MCAM /// MIR6756,4162 /// 102465453
209287_s_at,-0.7032209352504554,3.964359195,3.806804288,-0.1575549070000002,0.5206928597939603,0.6891413047308992,CDC42EP3,10602
202133_at,0.702563364209821,5.643321921,5.750868405,0.10754648400000022,0.5210614615389209,0.6895433800948683,WWTR1,25937
207876_s_at,0.7025305012248864,4.694676667,4.730778377,0.03610170999999962,0.5210798878730065,0.6895433800948683,FLNC,2318
218107_at,-0.7023716767617317,8.752919963,8.692803547,-0.06011641599999962,0.521168947703934,0.6895783956876987,WDR26,80232
218141_at,-0.7023348744927822,6.148247317,6.053973204,-0.09427411299999999,0.5211895859253456,0.6895783956876987,UBE2O,63893
226074_at,0.7020710189527045,4.104081158,4.118759127,0.014677969000000068,0.5213375699760022,0.6897191150536874,PPM1M,132160
220198_s_at,-0.7018529306810292,4.056889335,3.672861336,-0.3840279990000002,0.5214599083690783,0.6897943521759144,EIF5A2,56648
203874_s_at,-0.701821212532757,6.146316218,6.113599999,-0.0327162190000001,0.5214777026589115,0.6897943521759144,SMARCA1,6594
225287_s_at,0.701543687247549,6.450301878,6.585944842,0.13564296399999964,0.5216334167231915,0.6899452448061435,TMEM55B,90809
218195_at,0.7013691104243724,7.889268567,7.878269858,-0.010998708999999884,0.5217313856904158,0.6900197421379708,C6orf211,79624
224472_x_at,0.7010142434238532,7.052621046,7.092301962,0.03968091600000001,0.5219305710020147,0.6902280813259144,SDF4,51150
228315_at,0.7008558329929018,5.411826066,5.511885864,0.1000597980000002,0.5220195039020135,0.6902905953832771,ZMAT3,64393
203476_at,-0.700451577810818,7.507012068,7.384588506,-0.12242356199999982,0.5222465058583561,0.6905356600085469,TPBG,7162
201730_s_at,0.7000639859038887,7.603199769,7.383506346,-0.21969342299999983,0.5224642180789533,0.6905479921306777,TPR,7175
227788_at,-0.7001405653373209,4.392003759,4.309829996,-0.08217376299999923,0.5224211978307151,0.6905479921306777,USP13,8975
219251_s_at,-0.7000901161018819,4.732114436,4.708108024,-0.024006411999999422,0.5224495385539184,0.6905479921306777,WDR60,55112
214596_at,-0.7001935993836642,4.009116724,3.896562091,-0.11255463300000024,0.5223914062474587,0.6905479921306777,CHRM3,1131
225836_s_at,0.7002543948641899,5.922251739,6.084036459,0.16178472,0.5223572562367762,0.6905479921306777,RHNO1,83695
213364_s_at,-0.699689689427917,4.300458589,4.189585221,-0.11087336800000003,0.5226745246385796,0.690770854170585,SNX1,6642
209224_s_at,0.6993752421861626,9.076195394,9.151099,0.07490360599999946,0.5228512510319818,0.6909493043825894,NDUFA2,4695
225223_at,-0.6990798383131059,6.751471718,6.786044695,0.03457297699999984,0.5230173140655496,0.6910034189260897,SMAD5,4090
232884_s_at,-0.6991039575552962,4.425887819,4.3654316,-0.060456218999999756,0.5230037538585938,0.6910034189260897,ZNF853,54753
235371_at,0.699203134826688,5.511497311,5.441830412,-0.06966689900000045,0.5229479975561574,0.6910034189260897,GXYLT2,727936
37005_at,-0.6984041459156661,5.281606648,5.210715707,-0.07089094100000004,0.5233973021709428,0.691450318902117,MINOS1-NBL1 /// NBL1,4681 /// 100532736
229410_at,0.6982232718176788,7.666128737,7.715049248,0.0489205109999995,0.5234990539710888,0.6915296041813737,SLC35E1,79939
218592_s_at,0.6977271226078492,7.547868928,7.590163168,0.04229424000000037,0.5237782391678519,0.6918432433651259,CECR5,27440
200719_at,0.6975267160491074,4.419613889,4.408332561,-0.011281327999999924,0.5238910393055087,0.6918819249364717,SKP1,6500
212254_s_at,0.6975585570746008,5.902179673,5.996193349,0.09401367600000032,0.5238731162024748,0.6918819249364717,DST,667
214071_at,0.6973155620429352,4.313363675,4.391323526,0.07795985100000014,0.5240099077270981,0.6919286070393919,GNAL,2774
203896_s_at,-0.6973707570756486,3.89641658,3.861415849,-0.035000730999999785,0.5239788339899855,0.6919286070393919,PLCB4,5332
213264_at,-0.697086093451949,4.846728463,4.832931578,-0.013796884999999648,0.5241391084008538,0.692044058259124,PCBP2,5094
212623_at,0.6964948203290188,7.5249866,7.531902435,0.006915835000000037,0.5244721267203576,0.6924285790939925,TMEM41B,440026
213653_at,-0.6961701450569607,4.161810165,4.118302984,-0.04350718100000073,0.524655056177654,0.6925735328450615,METTL3,56339
233341_s_at,-0.6961515774274404,6.337550003,6.217864741,-0.11968526199999996,0.5246655189975987,0.6925735328450615,POLR1B,84172
234008_s_at,-0.6960445612446604,3.982202126,3.984723062,0.002520936000000251,0.5247258253290914,0.6925979606371159,CES3,23491
202387_at,0.695905561822796,6.665549484,6.665073493,-0.00047599099999917627,0.5248041625042194,0.6926461819764546,BAG1,573
229559_at,-0.6957456367974483,4.633441359,4.529994523,-0.10344683599999982,0.5248943033663094,0.6927099731163983,PPM1N,147699
204238_s_at,0.695437581349814,7.026773614,6.99280831,-0.03396530399999964,0.5250679686482757,0.6928839736009301,DNPH1,10591
202469_s_at,0.6951901016064183,8.783733137,8.844961031,0.06122789399999995,0.5252075146269048,0.6929166196410477,CPSF6,11052
211727_s_at,-0.6951712101343579,8.701656066,8.650773193,-0.05088287300000083,0.5252181680289648,0.6929166196410477,COX11,1353
204819_at,-0.6952661314428933,4.894808891,4.909384414,0.014575522999999535,0.5251646409636251,0.6929166196410477,FGD1,2245
214801_at,-0.6949977654368029,5.807426256,5.761498598,-0.04592765800000009,0.5253159853858476,0.6929353205841977,TOR1AIP2,163590
